Rk,Season,SeasonNum,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,,,
1,2025,,Tyrese Maxey,25,PHI,PG,9,9,373,24.4,0.626,0.393,0.364,1.2,12.3,6.7,31.7,1.3,2.4,9.1,28.8,1.5,0.3,1.7,0.221,6.9,-0.3,6.6,0.8,,,,
2,2025,,Devin Booker,29,PHO,SG,10,10,369,21.4,0.625,0.305,0.39,4.2,10.3,7.2,33.3,0.9,0.8,15.2,31.3,1,0.1,1.2,0.151,4.2,-2.1,2.1,0.4,,,,
3,2025,,Shai Gilgeous-Alexander,27,OKC,PG,10,10,348,30.8,0.642,0.264,0.431,1,14,7.7,31.2,1.4,3.5,6.5,34.2,1.7,0.7,2.3,0.321,8.7,1.8,10.5,1.1,,,,
4,2025,,Rui Hachimura,27,LAL,PF,10,10,346,12.8,0.679,0.375,0.269,2.6,9.7,6.4,5.7,0.7,0.8,10.7,16.1,0.5,0.1,0.7,0.092,0.2,-2,-1.8,0,,,,
5,2025,,Grayson Allen,30,PHO,SG,10,10,345,13,0.578,0.662,0.135,1.3,9.4,5.3,19.6,2,0.8,12.4,19.5,0.4,0.2,0.6,0.084,-0.2,-0.9,-1.2,0.1,,,,
6,2025,,VJ Edgecombe,20,PHI,SG,9,9,344,13.2,0.527,0.373,0.172,6.1,10.8,8.4,16.7,1.9,0.5,10.6,19.1,0.3,0.2,0.6,0.08,-1,-0.7,-1.8,0,,,,
7,2025,,P.J. Washington,27,DAL,PF,10,10,339,12.2,0.528,0.317,0.357,4,21.4,12.8,12.6,1.2,3.1,16.1,21.6,-0.4,0.6,0.2,0.031,-3.1,0.5,-2.6,-0.1,,,,
8,2025,,Kelly Oubre Jr.,30,PHI,PF,9,9,336,15.7,0.645,0.45,0.267,3.3,12.7,8,5,1.6,2.4,8.2,17.8,0.6,0.3,0.9,0.125,0.8,-0.5,0.3,0.2,,,,
9,2025,,Evan Mobley,24,CLE,PF,10,10,334,19.5,0.562,0.336,0.388,7,21.6,14,19.1,2.3,4.6,12.3,24.8,0.4,0.6,0.9,0.133,1.5,1.4,3,0.4,,,,
10,2025,,Brandon Ingram,28,TOR,SF,10,10,333,16.7,0.6,0.261,0.261,2.3,18.3,10.4,18.2,1.1,1.7,13.4,25.5,0.3,0.4,0.6,0.092,0.4,-0.4,0,0.2,,,,
11,2025,,Dyson Daniels,22,ATL,SG,10,10,330,13,0.516,0.092,0.207,4.9,14.9,10,20.8,3.3,1.4,16.7,14.5,0.1,0.5,0.6,0.086,-2.6,2.3,-0.3,0.1,,,,
12,2025,,RJ Barrett,25,TOR,SF,10,10,326,18.7,0.652,0.381,0.324,2,13.7,7.9,17.5,1.4,1.1,10.2,22.8,0.7,0.3,1,0.148,2.7,-0.2,2.5,0.4,,,,
13,2025,,Scottie Barnes,24,TOR,PF,10,10,325,20.6,0.58,0.28,0.21,6.5,17.1,11.8,22.7,2.3,4.5,10,24.6,0.5,0.5,1,0.151,2.9,1.7,4.6,0.5,,,,
14,2025,,Cooper Flagg,19,DAL,PG,10,10,325,10.7,0.495,0.287,0.202,3.2,17.6,10.5,14.5,1.7,1.5,14.1,21.2,-0.4,0.5,0.1,0.02,-4,0.1,-3.9,-0.2,,,,
15,2025,,Derrick White,31,BOS,SG,10,10,324,14.1,0.445,0.58,0.16,2.3,9.7,5.9,22.3,2.9,3.8,5.9,22.3,0.1,0.4,0.5,0.069,-0.3,1.1,0.8,0.2,,,,
16,2025,,DeMar DeRozan,36,SAC,PF,9,9,323,16.4,0.571,0.142,0.355,1.4,11,6.1,15.7,1.3,0.3,5.2,22.6,0.5,0.1,0.6,0.085,0.2,-1.5,-1.3,0.1,,,,
17,2025,,Andrew Wiggins,30,MIA,SF,10,10,322,14.8,0.601,0.376,0.188,4.4,10.2,7.4,9.8,2,2.6,11.7,20.8,0.2,0.4,0.6,0.088,-0.1,0.5,0.4,0.2,,,,
18,2025,,Cade Cunningham,24,DET,PG,9,9,322,20.5,0.564,0.326,0.331,2.3,11.6,7,42.8,1.3,2.2,13.9,30.1,0.6,0.4,1,0.155,4,-0.2,3.7,0.5,,,,
19,2025,,Trey Murphy III,25,NOP,SF,9,9,322,16.7,0.575,0.543,0.178,4.4,17,10.2,15.9,1.7,0.6,6.1,19.4,0.6,0.1,0.7,0.103,2,-1.3,0.7,0.2,,,,
20,2025,,Payton Pritchard,28,BOS,PG,10,10,319,16.2,0.547,0.543,0.21,3.6,9.5,6.5,23.4,1.6,0,8.5,21.9,0.6,0.2,0.8,0.12,1,-0.8,0.1,0.2,,,,
21,2025,,Lauri Markkanen,28,UTA,PF,9,9,318,21.3,0.59,0.441,0.34,5.6,12.9,9.2,10.9,1.2,1.3,5.3,29.3,0.8,0.2,1,0.15,5.7,-1.7,4,0.5,,,,
22,2025,,Pascal Siakam,31,IND,PF,9,9,318,17.1,0.507,0.251,0.41,3.7,20,11.1,30.8,1.8,0.9,10.4,30.4,-0.1,0.4,0.4,0.053,1.5,0.4,1.9,0.3,,,,
23,2025,,Jaylen Brown,29,BOS,SF,10,10,317,22.8,0.623,0.3,0.29,1.7,15.6,8.4,24.7,1.3,1,13.8,35,0.6,0.3,0.9,0.133,4.3,-0.3,4,0.5,,,,
24,2025,,Royce O'Neale,32,PHO,SF,10,6,315,13.6,0.638,0.856,0.041,4.2,16.5,10.3,14.6,2.3,0.3,14.7,15.4,0.4,0.3,0.7,0.106,0.9,-0.1,0.8,0.2,,,,
25,2025,,Immanuel Quickley,26,TOR,PG,10,10,315,14.6,0.541,0.509,0.336,2.1,13.1,7.7,26.6,2.1,0,11.3,20,0.4,0.3,0.7,0.103,0,0,0,0.2,,,,
26,2025,,Paolo Banchero,23,ORL,PF,9,9,312,18.8,0.558,0.257,0.636,3.5,26.5,15,19.8,1.1,2.7,11.4,26.8,0.4,0.4,0.8,0.13,1.3,0.5,1.8,0.3,,,,
27,2025,,Franz Wagner,24,ORL,SF,9,9,311,18.6,0.605,0.28,0.392,5.7,12,8.9,16.7,1.4,0.8,10.7,25,0.7,0.3,1,0.147,1.9,-1,0.9,0.2,,,,
28,2025,,Miles Bridges,27,CHO,PF,9,9,310,16.6,0.557,0.497,0.345,3.4,19.6,11.7,16.7,0.8,0.9,7.2,23.8,0.6,0.1,0.8,0.117,1.6,-1.6,0,0.2,,,,
29,2025,,Devin Vassell,25,SAS,SG,9,9,308,10.6,0.532,0.622,0.134,2,10.6,6.5,9.6,1.6,0.6,8.7,19.1,0.1,0.4,0.5,0.077,-1.8,-0.9,-2.7,-0.1,,,,
30,2025,,Josh Giddey,23,CHI,PG,9,9,307,20.7,0.56,0.262,0.356,4.5,24.1,15,40.5,1.4,0.8,15.2,27.8,0.5,0.3,0.8,0.133,3,0.5,3.5,0.4,,,,
31,2025,,Nikola Jokić,30,DEN,C,9,9,306,35.4,0.733,0.296,0.333,10.1,30.1,20.9,53.5,2.7,2.1,15.3,25.2,1.9,0.8,2.7,0.42,11.7,6.7,18.4,1.6,,,,
32,2025,,Julius Randle,31,MIN,PF,9,9,306,25.7,0.677,0.322,0.404,4.6,18.9,12.1,29.8,1.6,0.9,13.6,28,1.2,0.3,1.5,0.237,6.5,0.4,6.9,0.7,,,,
33,2025,,Victor Wembanyama,22,SAS,C,9,9,306,24.7,0.584,0.214,0.409,5.6,37.6,22.3,15.5,1.8,10.2,13.4,30.2,0.4,0.8,1.2,0.194,0.6,3.4,4,0.5,,,,
34,2025,,Jonathan Kuminga,23,GSW,PF,10,10,304,14.5,0.598,0.265,0.342,7,20.1,13.4,16,0.8,0.9,17.2,22.8,0.2,0.2,0.4,0.068,-1.6,-1.5,-3,-0.1,,,,
35,2025,,Deni Avdija,25,POR,SF,9,9,304,19.6,0.624,0.393,0.493,4,20,11.3,22.7,0.9,2.3,15.7,27.6,0.6,0.3,0.9,0.144,3.2,0.1,3.2,0.4,,,,
36,2025,,Toumani Camara,25,POR,PF,9,9,303,9.7,0.514,0.588,0.157,6,11.4,8.5,12,1.5,1.2,12.1,15.9,0.1,0.3,0.4,0.056,-2,-0.5,-2.5,0,,,,
37,2025,,Keyonte George,22,UTA,PG,9,9,303,17.9,0.591,0.378,0.563,1,10.4,5.6,36.1,1.3,1,15.1,26.7,0.6,0.1,0.7,0.114,2.1,-1.3,0.8,0.2,,,,
38,2025,,Stephon Castle,21,SAS,PG,9,9,301,17.1,0.59,0.373,0.6,5.7,14.3,10.2,32.3,2.8,1.2,23.2,25.6,0.2,0.5,0.7,0.117,-0.5,0.3,-0.2,0.1,,,,
39,2025,,Isaiah Hartenstein,27,OKC,C,10,10,300,21.7,0.694,0.037,0.333,12.3,29,21,16.3,2.6,2,17.7,16.3,0.8,0.8,1.6,0.254,1.4,2.2,3.7,0.4,,,,
40,2025,,Max Christie,22,DAL,SG,10,7,299,12.6,0.655,0.602,0.172,0.3,9.2,4.8,12.5,0.8,0.8,9.1,15.5,0.4,0.3,0.7,0.113,-0.1,-0.4,-0.5,0.1,,,,
41,2025,,Jrue Holiday,35,POR,PG,9,9,299,16.8,0.56,0.511,0.16,4,14.4,8.8,36.3,2.3,0.6,16.1,21.7,0.4,0.3,0.8,0.121,2.1,0.2,2.3,0.3,,,,
42,2025,,Donovan Mitchell,29,CLE,SG,9,9,298,26.2,0.685,0.5,0.33,0.7,10.4,5.4,27.6,2.2,1.3,12.2,31.5,1,0.3,1.3,0.215,7.7,0.5,8.2,0.8,,,,
43,2025,,Jake LaRavia,24,LAL,PF,10,5,297,15.2,0.648,0.42,0.37,6.9,13.5,10.4,12.5,2.4,0.6,12.9,15.6,0.5,0.3,0.8,0.127,0.9,0.1,1,0.2,,,,
44,2025,,Jaime Jaquez Jr.,24,MIA,SF,10,0,295,19.2,0.622,0.148,0.287,4.4,19.6,12.4,23.9,1.2,0.6,11.6,21.6,0.6,0.4,1,0.168,1.6,1.1,2.7,0.4,,,,
45,2025,,Davion Mitchell,27,MIA,PG,10,10,293,13.3,0.556,0.351,0.169,2.2,7.5,5,31.8,2.5,0.3,15.3,13.7,0.4,0.4,0.8,0.129,-1.3,1.5,0.2,0.2,,,,
46,2025,,Alperen Şengün,23,HOU,C,8,8,293,21.3,0.571,0.208,0.515,7.4,21.8,15,30.3,2,2.4,14.9,26.5,0.7,0.5,1.2,0.191,3.7,1.6,5.3,0.5,,,,
47,2025,,Onyeka Okongwu,25,ATL,C,10,3,291,15.1,0.561,0.327,0.337,7.4,23.8,15.7,11.2,1.3,3.2,9.4,18.5,0.3,0.5,0.7,0.12,-1.3,0.3,-0.9,0.1,,,,
48,2025,,Duncan Robinson,31,DET,SF,9,9,290,8.8,0.604,0.778,0.208,1.5,7.5,4.5,7.1,0.5,1.4,7.1,11.9,0.3,0.3,0.6,0.1,-1.1,-0.8,-1.9,0,,,,
49,2025,,Brandin Podziemski,22,GSW,SG,10,6,289,12.9,0.566,0.48,0.184,2.3,16.3,9.2,18,1.8,0.9,11.7,17.7,0.2,0.3,0.5,0.081,-1.4,0,-1.4,0.1,,,,
