Player,College,DraftYear,DraftRound,DraftPick,SeasonNum,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
A.J. Hammons,Purdue,2016,2,46,1,24,C,22,0,163,8.4,0.472,0.238,0.476,5.4,21.0,12.8,3.8,0.3,7.2,16.4,17.6,-0.2,0.2,0.0,-0.001,-6.6,0.0,-6.6,-0.2,
AJ Griffin,Duke,2022,1,16,2,19,SF,92,12,1572,6.8999999999999995,0.4795,0.5575,0.06,2.05,9.899999999999999,5.85,5.35,0.85,0.9,9.2,17.6,0.9,0.9,1.8000000000000003,-0.0225,-3.15,-2.0,-5.2,0.10000000000000003,
Aaron Gordon,Arizona,2014,1,4,3,19,PF,205,117,4958,14.299999999999999,0.5293333333333333,0.26166666666666666,0.29233333333333333,6.8999999999999995,17.733333333333334,12.233333333333334,9.033333333333333,1.4333333333333333,2.0,10.466666666666667,17.633333333333336,5.5,4.6000000000000005,10.100000000000001,0.09200000000000001,-0.6666666666666666,-0.2333333333333333,-0.9,1.7999999999999998,
Aaron Holiday,UCLA,2018,1,23,3,22,PG,182,41,3439,10.9,0.514,0.43166666666666664,0.17866666666666667,1.2666666666666666,8.733333333333333,5.066666666666666,17.46666666666667,1.7,1.2,12.466666666666669,20.03333333333333,-0.09999999999999998,3.3,3.2,0.04566666666666667,-2.1999999999999997,-0.26666666666666666,-2.466666666666667,-0.3999999999999999,
Aaron Nesmith,Vanderbilt,2020,1,14,3,21,SF,171,64,3059,9.066666666666666,0.5486666666666666,0.5903333333333333,0.18033333333333332,3.766666666666666,14.433333333333332,9.166666666666666,5.8,1.4000000000000001,1.2333333333333334,11.633333333333335,15.9,1.0,2.6,3.5,0.055333333333333325,-3.3333333333333335,-0.13333333333333333,-3.5,-0.9,
Aaron Wiggins,Maryland,2021,2,55,3,23,SG,198,53,3734,12.700000000000001,0.609,0.35966666666666663,0.212,5.166666666666667,11.333333333333334,8.233333333333333,8.700000000000001,1.5999999999999999,1.0999999999999999,12.299999999999999,15.4,4.0,3.6,7.5,0.09633333333333333,-1.5,-0.3333333333333333,-1.9000000000000001,0.10000000000000009,
Abdel Nader,Iowa State,2016,2,58,3,24,SF,164,8,2083,8.4,0.5173333333333333,0.4626666666666666,0.22666666666666668,2.1999999999999997,12.766666666666666,7.466666666666666,5.766666666666667,1.3333333333333333,1.7,13.299999999999999,16.400000000000002,-0.4,2.6,2.1,0.04066666666666666,-3.4333333333333336,0.2333333333333333,-3.1666666666666665,-0.4,
Ace Bailey,Rutgers University,2025,1,5,1,19,SF,9,0,166,5.8,0.418,0.322,0.169,9.5,9.8,9.6,12.7,0.9,0.6,15.9,18.5,-0.2,0.0,-0.2,-0.056,-5.7,-2.9,-8.6,-0.3,
Adem Bona,UCLA,2024,2,41,2,21,C,67,14,1046,12.25,0.592,0.034,0.6355,10.25,16.299999999999997,13.2,3.45,1.35,8.3,22.65,11.25,1.2999999999999998,1.1,2.4,0.077,-4.0,0.6,-3.35,-0.30000000000000004,
Admiral Schofield,Tennessee,2019,2,42,3,22,PF,108,3,1288,7.8999999999999995,0.5423333333333333,0.6273333333333334,0.156,3.8666666666666667,12.833333333333334,8.266666666666667,7.6000000000000005,0.7666666666666666,1.0,10.266666666666667,13.5,0.5,0.7,1.2000000000000002,0.044333333333333336,-3.5666666666666664,-1.0333333333333332,-4.6000000000000005,-0.8,
Adreian Payne,Michigan State,2014,1,15,3,23,PF,102,24,1360,9.233333333333333,0.4566666666666667,0.18000000000000002,0.24666666666666667,6.566666666666666,20.233333333333334,13.366666666666667,7.766666666666667,2.0,2.4,15.200000000000001,19.266666666666666,-1.6,0.8,-0.8,0.001999999999999997,-4.966666666666666,-0.2333333333333333,-5.133333333333334,-1.4,
Ajay Mitchell,UC Santa Barbara,2024,2,38,2,22,SG,46,3,873,15.55,0.578,0.3055,0.249,3.6999999999999997,9.65,6.75,18.1,2.5,0.7,11.8,21.049999999999997,1.0,1.5,2.5,0.148,-1.0,0.95,-0.050000000000000044,0.30000000000000004,
Al-Farouq Aminu,Wake Forest,2010,1,8,3,20,SF,223,106,4995,11.299999999999999,0.4996666666666667,0.17366666666666666,0.298,7.266666666666667,19.5,13.366666666666667,7.133333333333333,2.2333333333333334,1.7666666666666666,18.033333333333335,16.033333333333335,-0.5000000000000001,5.6,5.2,0.04633333333333333,-2.3000000000000003,0.6,-1.7,0.6,
Alec Burks,Colorado,2011,1,12,3,20,SG,201,12,4269,13.766666666666666,0.52,0.17833333333333332,0.39399999999999996,4.566666666666666,10.4,7.466666666666666,13.133333333333333,1.5999999999999999,0.6,12.700000000000001,22.366666666666664,4.0,1.7,5.7,0.06333333333333334,-0.7666666666666666,-1.0333333333333332,-1.8,0.49999999999999994,
Alec Peters,Valparaiso,2017,2,54,1,22,PF,20,0,225,10.7,0.523,0.784,0.135,3.7,14.0,8.8,7.9,0.4,0.7,4.9,15.5,0.2,0.0,0.3,0.055,-0.5,-2.3,-2.8,0.0,
Alex Len,Maryland,2013,1,5,3,20,C,189,93,3701,11.066666666666668,0.49766666666666665,0.006333333333333333,0.35833333333333334,10.9,22.233333333333334,16.466666666666665,4.3999999999999995,0.9,3.9666666666666663,18.133333333333336,16.133333333333333,0.5,4.3,4.9,0.055333333333333325,-4.066666666666666,-0.16666666666666666,-4.233333333333333,-1.3,
Alize Johnson,Missouri State,2018,2,50,3,22,PF,49,1,371,14.366666666666667,0.49333333333333335,0.163,0.3453333333333333,12.9,29.96666666666667,21.7,6.866666666666667,1.0999999999999999,2.6666666666666665,9.4,15.800000000000002,0.6,0.6,1.2,0.12166666666666666,-1.5999999999999999,-0.6,-2.1999999999999997,0.1,
Allen Crabbe,California,2013,2,31,3,21,SG,147,17,2888,9.533333333333333,0.524,0.4666666666666666,0.131,1.2,9.433333333333332,5.366666666666667,8.0,1.3,0.9666666666666667,8.200000000000001,14.799999999999999,3.6,2.1,5.7,0.07433333333333333,-2.6333333333333333,2.7755575615628914e-17,-2.6333333333333333,0.6,6MOY-16
Amari Bailey,UCLA,2023,2,41,1,19,PG,10,0,65,9.7,0.425,0.333,0.292,10.1,5.3,7.8,15.2,2.3,0.0,12.9,21.1,-0.1,0.0,-0.1,-0.044,-5.2,-3.1,-8.3,-0.1,
Amari Williams,Kentucky,2025,2,46,1,24,PF,2,0,7,21.6,0.5,0.0,0.0,15.1,16.1,15.5,19.5,7.1,0.0,0.0,12.1,0.0,0.0,0.0,0.249,1.3,5.1,6.4,0.0,
Andre Drummond,UConn,2012,1,9,3,19,C,223,173,6364,21.866666666666664,0.5603333333333333,0.0036666666666666666,0.424,17.066666666666666,28.333333333333332,22.5,3.4,2.0,4.966666666666666,10.866666666666665,18.633333333333333,12.0,10.1,22.1,0.167,1.2,0.0666666666666667,1.2666666666666666,4.8999999999999995,ROY-4
Andre Jackson Jr.,UConn,2023,2,36,3,22,SG,127,51,1565,9.6,0.3833333333333333,0.28200000000000003,0.07733333333333332,8.166666666666666,8.533333333333333,8.366666666666667,12.733333333333334,3.4,0.7333333333333334,14.300000000000002,8.4,0.6,1.5,2.2,0.08633333333333333,-2.6666666666666665,1.7666666666666666,-0.9,-0.5,
Andre Roberson,Colorado,2013,1,26,3,22,SG,177,151,3238,9.433333333333332,0.5323333333333333,0.33,0.19433333333333333,7.233333333333333,14.333333333333334,10.9,5.533333333333334,2.066666666666667,1.9333333333333333,16.166666666666668,9.4,2.5,3.8000000000000003,6.3,0.09433333333333334,-2.3,1.4666666666666668,-0.8666666666666666,1.4,
Andrew Goudelock,College of Charleston,2011,2,46,3,23,SG,49,0,475,4.766666666666667,0.3313333333333333,0.2936666666666667,0.08966666666666667,7.499999999999999,2.9333333333333336,5.166666666666667,7.1000000000000005,2.1333333333333333,1.0999999999999999,11.6,20.5,-0.1,0.2,0.1,-0.09533333333333334,-5.8999999999999995,-2.266666666666667,-8.166666666666666,-0.3,
Andrew Harrison,Kentucky,2015,2,44,3,22,PG,145,64,2987,9.066666666666666,0.48466666666666663,0.412,0.4166666666666667,2.3666666666666667,9.066666666666666,5.6000000000000005,19.46666666666667,1.4666666666666668,1.3666666666666665,15.5,17.599999999999998,0.9,2.2,3.2,0.028666666666666663,-3.6,-0.3666666666666667,-4.0,-0.5,
Andrew Nembhard,Gonzaga,2022,2,31,3,23,SG,208,175,5651,11.0,0.5486666666666666,0.35366666666666663,0.15166666666666667,2.1,8.833333333333334,5.466666666666666,21.633333333333336,1.8,0.43333333333333335,15.733333333333334,16.133333333333336,2.8,3.2,6.0,0.05233333333333332,-2.1999999999999997,-0.3333333333333333,-2.566666666666667,-0.8,
Andrew Nicholson,St. Bonaventure,2012,1,19,3,23,PF,191,36,2915,11.766666666666666,0.5096666666666666,0.14266666666666666,0.15366666666666667,5.033333333333333,17.266666666666666,11.133333333333333,5.633333333333333,0.7999999999999999,1.8333333333333333,11.333333333333334,20.733333333333334,0.3,2.1,2.4,0.03233333333333333,-3.033333333333333,-1.2333333333333334,-4.233333333333333,-1.5,
Andrew Wiggins,Kansas,2014,1,1,3,19,SF,245,245,8862,15.633333333333333,0.5313333333333333,0.14733333333333332,0.3973333333333333,4.366666666666666,8.6,6.466666666666666,10.166666666666666,1.4333333333333333,1.1333333333333335,10.566666666666666,26.266666666666666,8.8,1.6,10.399999999999999,0.05633333333333334,0.39999999999999997,-2.1999999999999997,-1.8,0.4,ROY-1
Andy Rautins,Syracuse,2010,2,38,1,24,SG,5,0,24,-1.2,0.508,0.571,0.286,0.0,4.8,2.4,18.7,2.1,0.0,47.0,27.5,-0.2,0.0,-0.2,-0.314,-8.0,-5.2,-13.2,-0.1,
