,,,,,Round 1,,,Totals,,,,,Shooting,,,Per Game,,,,Advanced,,,,
Rk,Sn,Rd,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP,
1,2025,1,1,DAL,Cooper Flagg,Duke,1,10,325,139,66,30,0.403,0.27,0.962,32.5,13.9,6.6,3,0.1,0.02,-3.9,-0.2,
2,2025,1,2,SAS,Dylan Harper,Rutgers University,1,6,140,84,24,23,0.5,0.357,0.833,23.3,14,4,3.8,0.4,0.145,-0.4,0.1,
3,2025,1,3,PHI,VJ Edgecombe,Baylor,1,9,344,152,52,42,0.433,0.36,0.783,38.2,16.9,5.8,4.7,0.6,0.08,-1.8,0,
4,2025,1,4,CHO,Kon Knueppel,Duke,1,9,284,148,54,21,0.443,0.405,0.889,31.6,16.4,6,2.3,0.3,0.057,-2.1,0,
5,2025,1,5,UTA,Ace Bailey,Rutgers University,1,9,166,53,30,14,0.339,0.211,0.9,18.4,5.9,3.3,1.6,-0.2,-0.056,-8.6,-0.3,
6,2025,1,6,WAS,Tre Johnson,Texas,1,10,259,121,37,13,0.425,0.37,0.917,25.9,12.1,3.7,1.3,-0.2,-0.039,-5.9,-0.3,
7,2025,1,7,NOP,Jeremiah Fears,Oklahoma,1,9,233,124,26,29,0.442,0.273,0.789,25.9,13.8,2.9,3.2,-0.1,-0.019,-4.5,-0.1,
8,2025,1,8,BRK,Egor Demin,BYU,1,8,155,45,24,25,0.341,0.333,0.75,19.4,5.6,3,3.1,-0.1,-0.017,-3.3,0,
9,2025,1,9,TOR,Collin Murray-Boyles,South Carolina,1,8,168,70,31,10,0.474,0.471,0.615,21,8.8,3.9,1.3,0.2,0.07,-2,0,
10,2025,1,10,HOU,Khaman Maluach,Duke,1,5,24,11,2,1,0.5,0,0.875,4.8,2.2,0.4,0.2,0.1,0.125,-5.1,0,
11,2025,1,11,POR,Cedric Coward,Washington State,1,10,265,150,58,28,0.554,0.436,0.912,26.5,15,5.8,2.8,1.1,0.2,4.5,0.4,
12,2025,1,12,CHI,Noa Essengue,,,,,,,,,,,,,,,,,,,
13,2025,1,13,ATL,Derik Queen,Maryland,1,9,173,80,49,18,0.444,0.143,0.767,19.2,8.9,5.4,2,0.1,0.032,-3,0,
14,2025,1,14,SAS,Carter Bryant,Arizona,1,6,44,15,5,0,0.333,0.333,1,7.3,2.5,0.8,0,0,-0.029,-8.4,-0.1,
15,2025,1,15,OKC,Thomas Sorber,Georgetown,,,,,,,,,,,,,,,,,,
