Player,College,DraftYear,DraftRound,DraftPick,Season,SeasonNum,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
A.J. Hammons,Purdue,2016,2,46,2016,1,24,DAL,C,22,0,163,8.4,0.472,0.238,0.476,5.4,21.0,12.8,3.8,0.3,7.2,16.4,17.6,-0.2,0.2,0.0,-0.001,-6.6,0.0,-6.6,-0.2,
AJ Griffin,Duke,2022,1,16,2022,1,19,ATL,SF,72,12,1401,12.6,0.577,0.486,0.088,2.9,9.2,6.0,7.0,1.4,0.7,7.1,17.9,1.3,0.9,2.2,0.075,-0.3,-0.5,-0.8,0.4,
AJ Griffin,Duke,2022,1,16,2023,2,20,ATL,SF,20,0,171,1.2,0.382,0.629,0.032,1.2,10.6,5.7,3.7,0.3,1.1,11.3,17.3,-0.4,0.0,-0.4,-0.12,-6.0,-3.5,-9.6,-0.3,
Aaron Gordon,Arizona,2014,1,4,2014,1,19,ORL,PF,47,8,797,11.4,0.517,0.231,0.293,6.4,17.8,12.0,6.3,1.3,2.2,13.9,15.5,0.3,0.7,1.0,0.06,-2.6,-0.1,-2.7,-0.2,
Aaron Gordon,Arizona,2014,1,4,2015,2,20,ORL,PF,78,37,1863,17.0,0.541,0.245,0.333,9.0,21.3,15.1,10.3,1.6,2.4,9.0,17.3,3.2,2.2,5.4,0.139,0.9,0.1,1.0,1.4,
Aaron Gordon,Arizona,2014,1,4,2016,3,21,ORL,SF,80,72,2298,14.5,0.53,0.309,0.251,5.3,14.1,9.6,10.5,1.4,1.4,8.5,20.1,2.0,1.7,3.7,0.077,-0.3,-0.7,-1.0,0.6,
Aaron Holiday,UCLA,2018,1,23,2018,1,22,IND,PG,50,0,646,11.9,0.518,0.485,0.191,0.9,10.4,5.8,19.3,1.6,1.8,12.3,21.9,0.1,0.8,0.9,0.065,-1.7,0.1,-1.6,0.1,
Aaron Holiday,UCLA,2018,1,23,2019,2,23,IND,PG,66,33,1617,11.6,0.521,0.393,0.155,1.5,9.0,5.3,19.1,1.7,0.9,12.8,18.7,0.4,1.7,2.1,0.063,-1.6,0.0,-1.6,0.2,
Aaron Holiday,UCLA,2018,1,23,2020,3,24,IND,PG,66,8,1176,9.2,0.503,0.417,0.19,1.4,6.8,4.1,14.0,1.8,0.9,12.3,19.5,-0.6,0.8,0.2,0.009,-3.3,-0.9,-4.2,-0.7,
Aaron Nesmith,Vanderbilt,2020,1,14,2020,1,21,BOS,SF,46,1,669,9.4,0.573,0.607,0.157,4.6,16.6,10.6,4.6,1.1,1.3,10.8,13.7,0.5,0.6,1.1,0.076,-2.8,-0.4,-3.2,-0.2,
Aaron Nesmith,Vanderbilt,2020,1,14,2021,2,22,BOS,SF,52,3,574,7.3,0.507,0.632,0.143,2.9,13.6,8.4,5.4,1.7,0.8,13.8,17.2,-0.4,0.9,0.4,0.038,-4.9,0.7,-4.3,-0.3,
Aaron Nesmith,Vanderbilt,2020,1,14,2022,3,23,IND,SF,73,60,1816,10.5,0.566,0.532,0.241,3.8,13.1,8.5,7.4,1.4,1.6,10.3,16.8,0.9,1.1,2.0,0.052,-2.3,-0.7,-3.0,-0.4,
Aaron Wiggins,Maryland,2021,2,55,2021,1,23,OKC,SG,50,35,1209,10.3,0.556,0.409,0.252,4.3,11.0,7.6,8.5,1.2,0.8,12.6,15.3,0.5,0.8,1.2,0.048,-3.4,-0.9,-4.3,-0.7,
Aaron Wiggins,Maryland,2021,2,55,2022,2,24,OKC,SG,70,14,1297,12.2,0.607,0.336,0.196,5.5,12.0,8.7,8.3,1.4,1.1,12.2,14.5,1.4,1.2,2.6,0.097,-1.5,-0.5,-2.1,0.0,
Aaron Wiggins,Maryland,2021,2,55,2023,3,25,OKC,SG,78,4,1228,15.6,0.664,0.334,0.188,5.7,11.0,8.4,9.3,2.2,1.4,12.1,16.4,2.1,1.6,3.7,0.144,0.4,0.4,0.7,0.8,
Abdel Nader,Iowa State,2016,2,58,2017,1,24,BOS,SF,48,1,522,5.1,0.439,0.436,0.262,2.8,12.0,7.4,7.1,1.4,1.6,17.0,17.1,-0.9,0.8,-0.1,-0.014,-5.5,0.2,-5.3,-0.4,
Abdel Nader,Iowa State,2016,2,58,2018,2,25,OKC,SF,61,1,694,8.8,0.522,0.465,0.167,2.0,15.7,8.6,3.8,1.3,1.5,10.1,15.1,0.0,0.9,0.9,0.062,-3.6,0.3,-3.2,-0.2,
Abdel Nader,Iowa State,2016,2,58,2019,3,26,OKC,SF,55,6,867,11.3,0.591,0.487,0.251,1.8,10.6,6.4,6.4,1.3,2.0,12.8,17.0,0.5,0.9,1.3,0.074,-1.2,0.2,-1.0,0.2,
Ace Bailey,Rutgers University,2025,1,5,2025,1,19,UTA,SF,9,0,166,5.8,0.418,0.322,0.169,9.5,9.8,9.6,12.7,0.9,0.6,15.9,18.5,-0.2,0.0,-0.2,-0.056,-5.7,-2.9,-8.6,-0.3,
Adem Bona,UCLA,2024,2,41,2024,1,21,PHI,C,58,11,905,16.5,0.714,0.005,0.521,11.1,19.9,15.3,4.4,1.4,7.5,20.5,14.3,1.4,0.9,2.3,0.121,-2.9,0.2,-2.7,-0.2,
Adem Bona,UCLA,2024,2,41,2025,2,22,PHI,C,9,3,141,8.0,0.47,0.063,0.75,9.4,12.7,11.1,2.5,1.3,9.1,24.8,8.2,-0.1,0.2,0.1,0.033,-5.1,1.0,-4.0,-0.1,
