Rk,Gcar,Gtm,Date,Team,Locatioc,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,1,12/26/11,SAC,,LAL,"W, 100-91",,25:34:00,3,8,0.375,0,0,,3,8,0.375,0.375,0,0,,0,1,1,3,0,0,3,2,6,0.2,8
2,2,2,12/27/11,SAC,@,POR,"L, 79-101",,24:06:00,4,10,0.4,1,5,0.2,3,5,0.6,0.45,1,1,1,1,0,1,2,0,0,2,2,10,3.9,-2
3,3,3,12/29/11,SAC,,CHI,"L, 98-108",,24:26:00,5,10,0.5,2,4,0.5,3,6,0.5,0.6,2,2,1,1,0,1,2,0,0,3,1,14,7.7,-3
4,4,4,12/31/11,SAC,,NYK,"L, 92-114",,25:54:00,2,10,0.2,1,7,0.143,1,3,0.333,0.25,2,2,1,0,2,2,1,0,0,1,2,7,0.3,-15
5,5,5,1/1/12,SAC,,NOH,"W, 96-80",,21:25,3,8,0.375,1,3,0.333,2,5,0.4,0.438,0,0,,0,0,0,5,2,0,1,0,7,7.1,1
6,6,6,1/3/12,SAC,@,MEM,"L, 96-113",,29:03:00,6,12,0.5,4,6,0.667,2,6,0.333,0.667,1,2,0.5,2,1,3,1,1,0,1,0,17,13,-6
7,7,7,1/4/12,SAC,@,DEN,"L, 83-110",,27:08:00,3,13,0.231,1,6,0.167,2,7,0.286,0.269,0,0,,1,2,3,3,2,0,1,2,7,2.7,-21
8,8,8,1/5/12,SAC,,MIL,"W, 103-100",,23:01,3,8,0.375,1,4,0.25,2,4,0.5,0.438,0,0,,2,0,2,2,0,0,2,1,7,3,-3
9,9,9,1/8/12,SAC,,ORL,"L, 97-104",,13:39,1,3,0.333,0,2,0,1,1,1,0.333,0,0,,0,1,1,2,0,0,1,0,2,1,-8
10,10,10,1/10/12,SAC,@,PHI,"L, 85-112",*,24:01:00,2,7,0.286,1,2,0.5,1,5,0.2,0.357,2,2,1,1,1,2,3,1,0,3,2,7,3.2,-12
11,11,11,1/11/12,SAC,@,TOR,"W, 98-91",*,27:17:00,3,10,0.3,2,6,0.333,1,4,0.25,0.4,2,2,1,1,1,2,0,0,0,2,1,10,2.8,-5
12,12,12,1/13/12,SAC,@,HOU,"L, 89-103",*,20:02,1,2,0.5,0,1,0,1,1,1,0.5,2,2,1,0,1,1,2,1,0,1,0,4,4.7,-15
13,13,13,1/14/12,SAC,@,DAL,"L, 60-99",,23:15,1,8,0.125,1,4,0.25,0,4,0,0.188,0,0,,1,2,3,2,1,0,1,2,3,-0.3,-24
